分拣中心,日期,小时,货量
SC1,2023-12-1,0,3013
SC1,2023-12-1,1,3031
SC1,2023-12-1,2,2937
SC1,2023-12-1,3,2959
SC1,2023-12-1,4,2790
SC1,2023-12-1,5,2165
SC1,2023-12-1,6,260
SC1,2023-12-1,7,1186
SC1,2023-12-1,8,1921
SC1,2023-12-1,9,1608
SC1,2023-12-1,10,1444
SC1,2023-12-1,11,1731
SC1,2023-12-1,12,2331
SC1,2023-12-1,13,2159
SC1,2023-12-1,14,308
SC1,2023-12-1,15,503
SC1,2023-12-1,16,931
SC1,2023-12-1,17,956
SC1,2023-12-1,18,1125
SC1,2023-12-1,19,1873
SC1,2023-12-1,20,2628
SC1,2023-12-1,21,2623
SC1,2023-12-1,22,2898
SC1,2023-12-1,23,2975
SC1,2023-12-2,0,3474
SC1,2023-12-2,1,3495
SC1,2023-12-2,2,3386
SC1,2023-12-2,3,3411
SC1,2023-12-2,4,3217
SC1,2023-12-2,5,2496
SC1,2023-12-2,6,300
SC1,2023-12-2,7,1368
SC1,2023-12-2,8,2215
SC1,2023-12-2,9,1854
SC1,2023-12-2,10,1665
SC1,2023-12-2,11,1996
SC1,2023-12-2,12,2687
SC1,2023-12-2,13,2490
SC1,2023-12-2,14,355
SC1,2023-12-2,15,580
SC1,2023-12-2,16,1074
SC1,2023-12-2,17,1102
SC1,2023-12-2,18,1297
SC1,2023-12-2,19,2159
SC1,2023-12-2,20,3030
SC1,2023-12-2,21,3024
SC1,2023-12-2,22,3341
SC1,2023-12-2,23,3430
SC1,2023-12-3,0,3633
SC1,2023-12-3,1,3655
SC1,2023-12-3,2,3542
SC1,2023-12-3,3,3568
SC1,2023-12-3,4,3365
SC1,2023-12-3,5,2611
SC1,2023-12-3,6,314
SC1,2023-12-3,7,1431
SC1,2023-12-3,8,2316
SC1,2023-12-3,9,1939
SC1,2023-12-3,10,1742
SC1,2023-12-3,11,2088
SC1,2023-12-3,12,2811
SC1,2023-12-3,13,2604
SC1,2023-12-3,14,372
SC1,2023-12-3,15,607
SC1,2023-12-3,16,1123
SC1,2023-12-3,17,1153
SC1,2023-12-3,18,1357
SC1,2023-12-3,19,2258
SC1,2023-12-3,20,3169
SC1,2023-12-3,21,3163
SC1,2023-12-3,22,3494
SC1,2023-12-3,23,3587
SC1,2023-12-4,0,3631
SC1,2023-12-4,1,3653
SC1,2023-12-4,2,3539
SC1,2023-12-4,3,3566
SC1,2023-12-4,4,3363
SC1,2023-12-4,5,2609
SC1,2023-12-4,6,314
SC1,2023-12-4,7,1430
SC1,2023-12-4,8,2315
SC1,2023-12-4,9,1938
SC1,2023-12-4,10,1741
SC1,2023-12-4,11,2087
SC1,2023-12-4,12,2809
SC1,2023-12-4,13,2603
SC1,2023-12-4,14,371
SC1,2023-12-4,15,606
SC1,2023-12-4,16,1123
SC1,2023-12-4,17,1152
SC1,2023-12-4,18,1356
SC1,2023-12-4,19,2257
SC1,2023-12-4,20,3167
SC1,2023-12-4,21,3161
SC1,2023-12-4,22,3492
SC1,2023-12-4,23,3585
SC1,2023-12-5,0,3585
SC1,2023-12-5,1,3607
SC1,2023-12-5,2,3495
SC1,2023-12-5,3,3521
SC1,2023-12-5,4,3321
SC1,2023-12-5,5,2577
SC1,2023-12-5,6,310
SC1,2023-12-5,7,1412
SC1,2023-12-5,8,2286
SC1,2023-12-5,9,1913
SC1,2023-12-5,10,1719
SC1,2023-12-5,11,2060
SC1,2023-12-5,12,2774
SC1,2023-12-5,13,2570
SC1,2023-12-5,14,367
SC1,2023-12-5,15,599
SC1,2023-12-5,16,1108
SC1,2023-12-5,17,1137
SC1,2023-12-5,18,1339
SC1,2023-12-5,19,2229
SC1,2023-12-5,20,3128
SC1,2023-12-5,21,3121
SC1,2023-12-5,22,3448
SC1,2023-12-5,23,3540
SC1,2023-12-6,0,3494
SC1,2023-12-6,1,3516
SC1,2023-12-6,2,3406
SC1,2023-12-6,3,3431
SC1,2023-12-6,4,3236
SC1,2023-12-6,5,2511
SC1,2023-12-6,6,302
SC1,2023-12-6,7,1376
SC1,2023-12-6,8,2228
SC1,2023-12-6,9,1865
SC1,2023-12-6,10,1675
SC1,2023-12-6,11,2008
SC1,2023-12-6,12,2703
SC1,2023-12-6,13,2505
SC1,2023-12-6,14,357
SC1,2023-12-6,15,584
SC1,2023-12-6,16,1080
SC1,2023-12-6,17,1109
SC1,2023-12-6,18,1305
SC1,2023-12-6,19,2172
SC1,2023-12-6,20,3048
SC1,2023-12-6,21,3042
SC1,2023-12-6,22,3361
SC1,2023-12-6,23,3450
SC1,2023-12-7,0,3293
SC1,2023-12-7,1,3313
SC1,2023-12-7,2,3210
SC1,2023-12-7,3,3234
SC1,2023-12-7,4,3050
SC1,2023-12-7,5,2367
SC1,2023-12-7,6,285
SC1,2023-12-7,7,1297
SC1,2023-12-7,8,2099
SC1,2023-12-7,9,1757
SC1,2023-12-7,10,1579
SC1,2023-12-7,11,1892
SC1,2023-12-7,12,2548
SC1,2023-12-7,13,2360
SC1,2023-12-7,14,337
SC1,2023-12-7,15,550
SC1,2023-12-7,16,1018
SC1,2023-12-7,17,1045
SC1,2023-12-7,18,1230
SC1,2023-12-7,19,2047
SC1,2023-12-7,20,2872
SC1,2023-12-7,21,2867
SC1,2023-12-7,22,3167
SC1,2023-12-7,23,3251
SC1,2023-12-8,0,3223
SC1,2023-12-8,1,3243
SC1,2023-12-8,2,3142
SC1,2023-12-8,3,3165
SC1,2023-12-8,4,2985
SC1,2023-12-8,5,2316
SC1,2023-12-8,6,279
SC1,2023-12-8,7,1269
SC1,2023-12-8,8,2055
SC1,2023-12-8,9,1720
SC1,2023-12-8,10,1545
SC1,2023-12-8,11,1852
SC1,2023-12-8,12,2494
SC1,2023-12-8,13,2310
SC1,2023-12-8,14,330
SC1,2023-12-8,15,538
SC1,2023-12-8,16,996
SC1,2023-12-8,17,1022
SC1,2023-12-8,18,1204
SC1,2023-12-8,19,2003
SC1,2023-12-8,20,2812
SC1,2023-12-8,21,2806
SC1,2023-12-8,22,3100
SC1,2023-12-8,23,3182
SC1,2023-12-9,0,3290
SC1,2023-12-9,1,3310
SC1,2023-12-9,2,3207
SC1,2023-12-9,3,3231
SC1,2023-12-9,4,3047
SC1,2023-12-9,5,2365
SC1,2023-12-9,6,284
SC1,2023-12-9,7,1296
SC1,2023-12-9,8,2097
SC1,2023-12-9,9,1756
SC1,2023-12-9,10,1577
SC1,2023-12-9,11,1891
SC1,2023-12-9,12,2545
SC1,2023-12-9,13,2358
SC1,2023-12-9,14,337
SC1,2023-12-9,15,549
SC1,2023-12-9,16,1017
SC1,2023-12-9,17,1044
SC1,2023-12-9,18,1229
SC1,2023-12-9,19,2045
SC1,2023-12-9,20,2870
SC1,2023-12-9,21,2864
SC1,2023-12-9,22,3164
SC1,2023-12-9,23,3249
SC1,2023-12-10,0,3162
SC1,2023-12-10,1,3182
SC1,2023-12-10,2,3083
SC1,2023-12-10,3,3106
SC1,2023-12-10,4,2929
SC1,2023-12-10,5,2273
SC1,2023-12-10,6,273
SC1,2023-12-10,7,1245
SC1,2023-12-10,8,2016
SC1,2023-12-10,9,1688
SC1,2023-12-10,10,1516
SC1,2023-12-10,11,1817
SC1,2023-12-10,12,2447
SC1,2023-12-10,13,2267
SC1,2023-12-10,14,323
SC1,2023-12-10,15,528
SC1,2023-12-10,16,978
SC1,2023-12-10,17,1003
SC1,2023-12-10,18,1181
SC1,2023-12-10,19,1966
SC1,2023-12-10,20,2759
SC1,2023-12-10,21,2753
SC1,2023-12-10,22,3042
SC1,2023-12-10,23,3123
SC1,2023-12-11,0,3202
SC1,2023-12-11,1,3221
SC1,2023-12-11,2,3121
SC1,2023-12-11,3,3144
SC1,2023-12-11,4,2966
SC1,2023-12-11,5,2301
SC1,2023-12-11,6,277
SC1,2023-12-11,7,1261
SC1,2023-12-11,8,2041
SC1,2023-12-11,9,1709
SC1,2023-12-11,10,1535
SC1,2023-12-11,11,1840
SC1,2023-12-11,12,2477
SC1,2023-12-11,13,2295
SC1,2023-12-11,14,328
SC1,2023-12-11,15,535
SC1,2023-12-11,16,990
SC1,2023-12-11,17,1016
SC1,2023-12-11,18,1196
SC1,2023-12-11,19,1990
SC1,2023-12-11,20,2793
SC1,2023-12-11,21,2787
SC1,2023-12-11,22,3079
SC1,2023-12-11,23,3161
SC1,2023-12-12,0,3639
SC1,2023-12-12,1,3661
SC1,2023-12-12,2,3547
SC1,2023-12-12,3,3574
SC1,2023-12-12,4,3370
SC1,2023-12-12,5,2615
SC1,2023-12-12,6,315
SC1,2023-12-12,7,1433
SC1,2023-12-12,8,2320
SC1,2023-12-12,9,1942
SC1,2023-12-12,10,1744
SC1,2023-12-12,11,2091
SC1,2023-12-12,12,2815
SC1,2023-12-12,13,2608
SC1,2023-12-12,14,372
SC1,2023-12-12,15,608
SC1,2023-12-12,16,1125
SC1,2023-12-12,17,1154
SC1,2023-12-12,18,1359
SC1,2023-12-12,19,2262
SC1,2023-12-12,20,3174
SC1,2023-12-12,21,3168
SC1,2023-12-12,22,3500
SC1,2023-12-12,23,3593
SC1,2023-12-13,0,3895
SC1,2023-12-13,1,3919
SC1,2023-12-13,2,3797
SC1,2023-12-13,3,3825
SC1,2023-12-13,4,3608
SC1,2023-12-13,5,2799
SC1,2023-12-13,6,337
SC1,2023-12-13,7,1534
SC1,2023-12-13,8,2483
SC1,2023-12-13,9,2079
SC1,2023-12-13,10,1867
SC1,2023-12-13,11,2239
SC1,2023-12-13,12,3014
SC1,2023-12-13,13,2792
SC1,2023-12-13,14,398
SC1,2023-12-13,15,650
SC1,2023-12-13,16,1204
SC1,2023-12-13,17,1236
SC1,2023-12-13,18,1455
SC1,2023-12-13,19,2421
SC1,2023-12-13,20,3398
SC1,2023-12-13,21,3391
SC1,2023-12-13,22,3746
SC1,2023-12-13,23,3846
SC1,2023-12-14,0,3882
SC1,2023-12-14,1,3906
SC1,2023-12-14,2,3784
SC1,2023-12-14,3,3812
SC1,2023-12-14,4,3595
SC1,2023-12-14,5,2790
SC1,2023-12-14,6,336
SC1,2023-12-14,7,1529
SC1,2023-12-14,8,2475
SC1,2023-12-14,9,2072
SC1,2023-12-14,10,1861
SC1,2023-12-14,11,2231
SC1,2023-12-14,12,3003
SC1,2023-12-14,13,2782
SC1,2023-12-14,14,397
SC1,2023-12-14,15,648
SC1,2023-12-14,16,1200
SC1,2023-12-14,17,1231
SC1,2023-12-14,18,1450
SC1,2023-12-14,19,2413
SC1,2023-12-14,20,3386
SC1,2023-12-14,21,3379
SC1,2023-12-14,22,3734
SC1,2023-12-14,23,3833
SC1,2023-12-15,0,3678
SC1,2023-12-15,1,3701
SC1,2023-12-15,2,3586
SC1,2023-12-15,3,3612
SC1,2023-12-15,4,3407
SC1,2023-12-15,5,2643
SC1,2023-12-15,6,318
SC1,2023-12-15,7,1449
SC1,2023-12-15,8,2345
SC1,2023-12-15,9,1963
SC1,2023-12-15,10,1763
SC1,2023-12-15,11,2114
SC1,2023-12-15,12,2846
SC1,2023-12-15,13,2636
SC1,2023-12-15,14,376
SC1,2023-12-15,15,614
SC1,2023-12-15,16,1137
SC1,2023-12-15,17,1167
SC1,2023-12-15,18,1374
SC1,2023-12-15,19,2286
SC1,2023-12-15,20,3209
SC1,2023-12-15,21,3202
SC1,2023-12-15,22,3538
SC1,2023-12-15,23,3632
SC1,2023-12-16,0,3458
SC1,2023-12-16,1,3479
SC1,2023-12-16,2,3371
SC1,2023-12-16,3,3396
SC1,2023-12-16,4,3203
SC1,2023-12-16,5,2485
SC1,2023-12-16,6,299
SC1,2023-12-16,7,1362
SC1,2023-12-16,8,2204
SC1,2023-12-16,9,1845
SC1,2023-12-16,10,1658
SC1,2023-12-16,11,1987
SC1,2023-12-16,12,2675
SC1,2023-12-16,13,2479
SC1,2023-12-16,14,354
SC1,2023-12-16,15,577
SC1,2023-12-16,16,1069
SC1,2023-12-16,17,1097
SC1,2023-12-16,18,1291
SC1,2023-12-16,19,2149
SC1,2023-12-16,20,3016
SC1,2023-12-16,21,3010
SC1,2023-12-16,22,3326
SC1,2023-12-16,23,3414
SC1,2023-12-17,0,3238
SC1,2023-12-17,1,3258
SC1,2023-12-17,2,3157
SC1,2023-12-17,3,3180
SC1,2023-12-17,4,2999
SC1,2023-12-17,5,2327
SC1,2023-12-17,6,280
SC1,2023-12-17,7,1275
SC1,2023-12-17,8,2064
SC1,2023-12-17,9,1728
SC1,2023-12-17,10,1552
SC1,2023-12-17,11,1861
SC1,2023-12-17,12,2505
SC1,2023-12-17,13,2321
SC1,2023-12-17,14,331
SC1,2023-12-17,15,541
SC1,2023-12-17,16,1001
SC1,2023-12-17,17,1027
SC1,2023-12-17,18,1209
SC1,2023-12-17,19,2013
SC1,2023-12-17,20,2825
SC1,2023-12-17,21,2819
SC1,2023-12-17,22,3115
SC1,2023-12-17,23,3198
SC1,2023-12-18,0,3149
SC1,2023-12-18,1,3168
SC1,2023-12-18,2,3070
SC1,2023-12-18,3,3092
SC1,2023-12-18,4,2916
SC1,2023-12-18,5,2263
SC1,2023-12-18,6,272
SC1,2023-12-18,7,1240
SC1,2023-12-18,8,2007
SC1,2023-12-18,9,1680
SC1,2023-12-18,10,1509
SC1,2023-12-18,11,1810
SC1,2023-12-18,12,2436
SC1,2023-12-18,13,2257
SC1,2023-12-18,14,322
SC1,2023-12-18,15,526
SC1,2023-12-18,16,974
SC1,2023-12-18,17,999
SC1,2023-12-18,18,1176
SC1,2023-12-18,19,1957
SC1,2023-12-18,20,2747
SC1,2023-12-18,21,2741
SC1,2023-12-18,22,3029
SC1,2023-12-18,23,3109
SC1,2023-12-19,0,3118
SC1,2023-12-19,1,3137
SC1,2023-12-19,2,3040
SC1,2023-12-19,3,3062
SC1,2023-12-19,4,2888
SC1,2023-12-19,5,2241
SC1,2023-12-19,6,270
SC1,2023-12-19,7,1228
SC1,2023-12-19,8,1988
SC1,2023-12-19,9,1664
SC1,2023-12-19,10,1495
SC1,2023-12-19,11,1792
SC1,2023-12-19,12,2413
SC1,2023-12-19,13,2235
SC1,2023-12-19,14,319
SC1,2023-12-19,15,521
SC1,2023-12-19,16,964
SC1,2023-12-19,17,989
SC1,2023-12-19,18,1165
SC1,2023-12-19,19,1938
SC1,2023-12-19,20,2720
